type,date,species,Long term change  percentage change,Long term Annual percentage change,Trend,date,Short term percentage change,Annual percentage change,Trend
Water and wetland Birds of slow and standing water (6),1975 - 2014,Mallard (Anas platyrhynchos),184,2.71,weak increase,2009 - 2014,-4,-0.71,no change
Water and wetland Birds of slow and standing water (6),1975 - 2014,Moorhen (Gallinula chloropus),-19,-0.52,no change,2009 - 2014,-17,-3.62,strong decline
Water and wetland Birds of slow and standing water (6),1975 - 2014,Tufted Duck (Aythya fuligula),120,2.04,weak increase,2009 - 2014,-11,-2.39,weak decline
Wetland Birds (8),1975 - 2014,Curlew (Numenius arquata),(1980-2015) -18,-0.58,no change,2009 - 2014,-2,-0.36,no change
Wetland Birds (8),1975 - 2014,Lapwing (Vanellus vanellus),(1980-2015) -2,-0.06,no change,2009 - 2014,-35,-8.28,strong decline
Wetland Birds (8),1975 - 2014,Little Egret (Egretta garzetta),N/A,N/A,N/A,2009 - 2014,26,4.76,strong increase
Wetland Birds (8),1975 - 2014,Mute Swan (Cygnus olor),109,1.91,weak increase,2009 - 2014,-2,-0.43,no change
Wetland Birds (8),1975 - 2014,Redshank (Tringa totanus),-54,-1.95,weak decline,2009 - 2014,-14,-2.92,strong decline
Wetland Birds (8),1975 - 2014,Snipe (Gallinago gallinago),-73,-3.33,strong decline,2009 - 2014,20,3.72,strong increase
Wetland Birds (8),1975 - 2014,Teal (Anas crecca),(1995-2015) 192,5.8,strong increase,2009 - 2014,46,7.9,strong increase
Wetland Birds (8),1975 - 2014,Yellow Wagtail (Motacilla flava),-97,-8.38,strong decline,2009 - 2014,-31,-7.23,strong decline
Other Species (4),1975 - 2014,Grey Heron (Ardea cinerea),-16,-0.43,no change,2009 - 2014,-16,-3.45,strong decline
Other Species (4),1975 - 2014,Kingfisher (Alcedo atthis),-19,-0.54,no change,2009 - 2014,-7,-1.47,weak decline
Other Species (4),1975 - 2014,Oystercatcher (Haematopus ostralegus),166,2.54,weak increase,2009 - 2014,-1,-0.11,no change
Other Species (4),1975 - 2014,Sand Martin (Riparia riparia),(1978-2014) 1,0.04,no change,2009 - 2014,-9,-1.92,weak decline
Seabirds (13),1986 - 2014,Black-legged kittiwake (Rissa tridactyla),-37,-1.66,weak decline,2009 - 2014,-1,-0.11,no change
Seabirds (13),1986 - 2014,common guillemot,158,3.44,strong increase,2009 - 2014,9,1.66,weak increase
Seabirds (13),1986 - 2014,European shag (Phalacrocorax artistotelis),-28,-1.16,weak decline,2009 - 2014,-7,-1.4,weak decline
Seabirds (13),1986 - 2014,Great cormorant (Phalacrocorax carbo),29,0.91,no change,2009 - 2014,13,2.51,weak increase
Seabirds (13),1986 - 2014,Herring Gull (Larus argentatus),-18,-0.7,no change,2009 - 2014,56,9.33,strong increase
Seabirds (13),1986 - 2014,Northern fulmar (Fulmarus glacialis),-60,-3.21,strong decline,2009 - 2014,-54,-14.54,strong decline
Seabirds (13),1986 - 2014,Common Tern (Sterna hirundo),-8,-0.31,no change,2009 - 2014,-14,-2.96,strong decline
Seabirds (13),1986 - 2014,Sandwich Tern (Sterna sandvicensis),-13,-0.51,no change,2009 - 2014,-30,-6.84,strong decline
Seabirds (13),1986 - 2014,Little Tern (Sternula albifrons),-22,-0.9,no change,2009 - 2014,2,0.34,no change
Seabirds (13),1986 - 2014,Arctic Tern (Sterna paradisaea),40,1.22,weak increase,2009 - 2014,43,7.42,strong increase
Seabirds (13),1986 - 2014,Gannet (Morus bassanus),1566,10.57,strong increase,2009 - 2014,53,8.83,strong increase
Other species included in the all species indicator (31),1970 -  2013,Avocet (Recurvirostra avosetta),(1988-2014) 295,5.43,strong increase,2009 - 2014,3,0.66,no change
Other species included in the all species indicator (31),1970 -  2013,Bearded Tit (Panurus biarmicus),44,0.83,no change,2009 - 2014,-5,-0.95,no change
Other species included in the all species indicator (31),1970 -  2013,Black-headed Gull (Chroicocephalus ridibundus),62,1.1,no change,2009 - 2014,8,1.6,weak increase
Other species included in the all species indicator (31),1970 -  2013,Buzzard (Buteo buteo),916,5.41,strong increase,2009 - 2014,15,2.87,strong increase
Other species included in the all species indicator (31),1970 -  2013,Carrion Crow (Corvus corone),104,1.63,weak increase,2009 - 2014,5,0.97,no change
Other species included in the all species indicator (31),1970 -  2013,Cirl Bunting (Emberiza cirlus),(2001-2014) 78,4.52,strong increase,2009 - 2014,21,3.81,strong increase
Other species included in the all species indicator (31),1970 -  2013,Collared Dove (Streptopelia decaocto),919,5.42,strong increase,2009 - 2014,-16,-3.42,strong decline
Other species included in the all species indicator (31),1970 -  2013,Cuckoo (Cuculus canorus),-75,-3.07,strong decline,2009 - 2014,-12,-2.55,weak decline
Other species included in the all species indicator (31),1970 -  2013,Dartford Warbler (Sylvia undata),(1974-2014) 58,1.14,no change,2009 - 2014,-43,-10.6,strong decline
Other species included in the all species indicator (31),1970 -  2013,Firecrest (Regulus ignicapilla),N/A,N/A,N/A,2009 - 2014,171,22.02,strong increase
Other species included in the all species indicator (31),1970 -  2013,Hobby (Falco subbuteo),(1995-2014) -6,-0.32,no change,2009 - 2014,-21,-4.55,strong decline
Other species included in the all species indicator (31),1970 -  2013,House Martin (Delichon urbicum),(1995-2014) -29,-1.77,weak decline,2009 - 2014,-18,-3.78,strong decline
Other species included in the all species indicator (31),1970 -  2013,House Sparrow (Passer domesticus),-76,-3.18,strong decline,2009 - 2014,1,0.2,no change
Other species included in the all species indicator (31),1970 -  2013,Magpie (Pica pica),109,1.69,weak increase,2009 - 2014,4,0.7,no change
Other species included in the all species indicator (31),1970 -  2013,Meadow Pipit (Anthus pratensis),-44,-1.32,weak decline,2009 - 2014,13,2.44,weak increase
Other species included in the all species indicator (31),1970 -  2013,Mediterranean Gull (Larus melanocephalus),N/A,N/A,N/A,2009 - 2014,19,3.53,strong increase
Other species included in the all species indicator (31),1970 -  2013,Mistle Thrush (Turdus viscivorus),-62,-2.18,weak decline,2009 - 2014,-15,-3.25,strong decline
Other species included in the all species indicator (31),1970 -  2013,Pied/White Wagtail (Motacilla alba),25,0.51,no change,2009 - 2014,0,0.09,no change
Other species included in the all species indicator (31),1970 -  2013,Pochard (Aythya ferina),(1989-2014) 153,3.79,strong increase,2009 - 2014,29,5.23,strong increase
Other species included in the all species indicator (31),1970 -  2013,Quail (Coturnix coturnix),(1990-2014) -33,-1.67,weak decline,2009 - 2014,-40,-9.63,strong decline
Other species included in the all species indicator (31),1970 -  2013,Raven (Corvus corax),(1995-2014) 58,2.42,weak increase,2009 - 2014,54,9.08,strong increase
Other species included in the all species indicator (31),1970 -  2013,Red Grouse (Lagopus lagopus scotica),(1995-2014) 18,0.86,no change,2009 - 2014,34,6.09,strong increase
Other species included in the all species indicator (31),1970 -  2013,Red Kite (Milvus milvus),N/A,N/A,N/A,2009 - 2014,100,14.88,strong increase
Other species included in the all species indicator (31),1970 -  2013,Shelduck (Tadorna tadorna),(1995-2014) 24,1.12,no change,2009 - 2014,-3,-0.52,no change
Other species included in the all species indicator (31),1970 -  2013,Shoveler (Anas clypeata),N/A,N/A,N/A,2009 - 2014,8,1.49,weak increase
Other species included in the all species indicator (31),1970 -  2013,Stone Curlew (Burhinus oedicnemus),N/A,N/A,N/A,2009 - 2014,14,2.63,weak increase
Other species included in the all species indicator (31),1970 -  2013,Stonechat (Saxicola rubicola),(1995-2014) 26,1.2,weak increase,2009 - 2014,-27,-5.99,strong decline
Other species included in the all species indicator (31),1970 -  2013,Swallow (Hirundo rustica),9,0.2,no change,2009 - 2014,-8,-1.74,weak decline
Other species included in the all species indicator (31),1970 -  2013,Swift (Apus apus),(1995-2014) -46,-3.21,strong decline,2009 - 2014,-21,-4.7,strong decline
Other species included in the all species indicator (31),1970 -  2013,Whinchat (Saxicola rubetra),(1995-2014) -37,-2.41,weak decline,2009 - 2014,22,4.03,strong increase
Other species included in the all species indicator (31),1970 -  2013,Woodlark (Lullula arborea),(1980-2014) 250,3.75,strong increase,2009 - 2014,18,3.39,strong increase
